id,meaning,perslemma
36,"Zeuge er, sie, es muß kennen ich muß, du mußt usw.... männl. Eigen­ name",
36,wenn du nicht zurückgibst ich beschwere mich,
36,"er, sie, es kennt",
36,vor (zeitl.),
36,"von, aus für",
36,nach (Richtung) nach (in der Richtung),
36,ohne mit,
36,"nahe bei zwischen, unter zwischen, unter",
36,nach (zeitlich) nach (zeitlich),
36,"er, sie, es hatte gegeben er, sie, es hatte genommen",
36,V erhältniswörter,
36,über,
36,auf in in unter außerhalb,
36,vor (räumlich) hinter,
36,"nahe bei, dicht bei neben",
36,"um, herum vor (zeitl.)",
37,Lektion 3,
37,unterhalb,
37,Kerze gib\! ich will ver brennen,
37,Gesicht alle beide,
37,du hast ver,
37,brannt schreib\! er sah,
37,nur,
37,"Zeichen dumm lieber; Leben,",
37,Seele du liest,
37,was für ein Thema Thema,
37,er hat ge schrieben lang,
37,Fragen (PI.),
37,wofür? für was?,
38,Lektio,
38,on 37,
38,er sperrt ein,
38,Gefängnis nochmal erlauben Sie,
38,sieh verab- schieden,
38,Gedicht dichten,
38,Minister,
38,"nach der Ansicht (Meinung) aufgeregt, nervös Monat",
39,weinend deutsch,
39,Sie wissen (kön­ nen) müde,
39,Füllfederhalter kennen,
39,lesen,
39,ich will lesen lies\!,
39,"es wird gelesen tuend, machend lachend",
39,ektion 38,
39,Himmel Licht,
39,sich wundern Mohammed,
39,sieh\!,
39,weder– noch steh auf\!,
39,"ein wenig, ein bißchen persische Süß- Speise Person",
39,"sehr gut, sehr wohl Moses Paradies",
39,zufällig,
40,"Person er, sie, es hatte gegessen",
40,"er, sie,",
40,ektion 39,
40,wen es hatte gesehen,
40,es ist nicht wichtig,
40,Wichtigkeit,
40,nächstes Mal,
40,Mal,
40,verfolge\!,
40,dann viel; sehr,
40,intelligent,
40,du weintest das Weinen,
40,schwarz,
40,ich floh,
40,"er, sie, es verfolgte mich ich fürchtete mich",
40,eigen; selbst,
40,In der persischen Sprache,
